"S.No.","Zone & Circle","Ward Name","Vehicle Number","Route Name","Total","Covered","Not Covered","Coverage","Date","Start Time","End Time"
"64","4","51-Gaushala Nagar","M098   UP85AGT0956","W51R1","402","290","112","72","19-12-2025","08:04 AM","11:20 AM"
"65","1","23-Aheer Pada","M112   UP85AG0885_C","W23R2","138","99","39","71","19-12-2025","07:49 AM","10:26 AM"
"66","4","21-Chaitanya Bihar","M277 UP85ET 7842","W21R1","159","114","45","71","19-12-2025","07:41 AM","11:20 AM"
"67","3","27-Baad","M220 UP14PT7715","W27R3","181","129","52","71","19-12-2025","07:40 AM","09:47 AM"
"68","2","24-Sarai Azamabad","MR034-70143664","W24MR1","100","71","29","71","19-12-2025","07:37 AM","09:40 AM"
"69","4","51-Gaushala Nagar","DL51GD9456","W51ER5","238","165","73","69","19-12-2025","08:17 AM","11:12 AM"
"70","3","41-Dhaulipiau","UP85FT 2574","W41R3","58","40","18","68","19-12-2025","07:16 AM","08:28 AM"
"71","3","32-Ranchibagar","M234 UP85ET 7832","W32R3","22","15","7","68","19-12-2025","08:07 AM","09:04 AM"
"72","2","31-Navneet Nagar","M237 UP85ET 7866","W31R1","375","254","121","67","19-12-2025","07:58 AM","10:38 AM"
"73","1","23-Aheer Pada","M072   UP85AG0803","W23R1","199","134","65","67","19-12-2025","07:16 AM","09:31 AM"
"74","3","32-Ranchibagar","CH55499","W32R1","186","125","61","67","19-12-2025","06:51 AM","10:01 AM"
"75","1","53-Krishna Puri","MR044-70147541","W53MR1","84","56","28","66","19-12-2025","08:36 AM","10:02 AM"
"76","1","05-Bharatpur Gate","M080  UP85AG0795_C","W5R1","114","74","40","64","19-12-2025","07:54 AM","09:02 AM"
"77","1","05-Bharatpur Gate","M013 UP14PT7750","W5R2","65","42","23","64","19-12-2025","08:34 AM","10:15 AM"
"78","2","60-Jagannath Puri","M207 UP85AG0965","W60R2","359","230","129","64","19-12-2025","07:11 AM","10:52 AM"
"79","2","55-Govind Nagar","M010 UP14PT8107","W55R1","318","203","115","63","19-12-2025","07:51 AM","11:05 AM"
"80","2","56-Mandi Randas","M262 UP85ET 7851","W56R5","11","7","4","63","19-12-2025","09:13 AM","09:44 AM"
"81","2","48-Satoha Asangpur","M257 UP85ET 7845","W48R2","11","7","4","63","19-12-2025","08:03 AM","09:51 AM"
"82","2","47-Dwarkapuri","UP14PT7748","W47R2","195","124","71","63","19-12-2025","07:05 AM","10:21 AM"
"83","3","28-Aurangabad Second","M081  UP85AG0893_C","W28R4","63","40","23","63","19-12-2025","08:57 AM","09:19 AM"
"84","3","01-Birjapur","M273 UP85ET 7846","W1R3","77","48","29","62","19-12-2025","08:37 AM","08:57 AM"
"85","3","52-Chandrapuri","M181 UP85AG0763","W52R1","519","321","198","61","19-12-2025","06:53 AM","09:33 AM"
"86","2","46-Radha Nagar","55556","W46R1","55","34","21","61","19-12-2025","07:12 AM","10:05 AM"
"87","4","13-Sunrakh","M200 UP85AG0968","W13R2","53","32","21","60","19-12-2025","09:47 AM","10:39 AM"
"88","4","13-Sunrakh","M113   UP85AGT0966","W13R1","264","158","106","59","19-12-2025","07:26 AM","11:20 AM"
"89","2","45-Birla Mandir","M058 UP85AG0950","W45R5","106","63","43","59","19-12-2025","07:39 AM","10:09 AM"
"90","3","29-Koyla Alipur","M253 UP85ET 7854","W29R2","56","33","23","58","19-12-2025","07:36 AM","09:16 AM"
"91","4","13-Sunrakh","UP85ET7858","W13R4","158","93","65","58","19-12-2025","08:29 AM","10:11 AM"
"92","2","44-Radhika Bihar","M124 DL51EV0233","W44R3","51","30","21","58","19-12-2025","08:21 AM","09:03 AM"
"93","4","62-Mathura Darwaza","M261 CH55684","W62R1","298","175","123","58","19-12-2025","07:39 AM","09:30 AM"
"94","2","47-Dwarkapuri","M079   UP85AG0754","W47R3","136","79","57","58","19-12-2025","08:23 AM","11:01 AM"
"95","4","67-Kemar Van","UP85ET7857","W67R2","155","90","65","58","19-12-2025","07:35 AM","10:33 AM"
"96","3","41-Dhaulipiau","M020 UP14PT7998","W41R1","362","210","152","58","19-12-2025","08:10 AM","11:20 AM"
"97","2","12-Radhe Shyam Colony","DL51GD0277","W12ER3","265","153","112","57","19-12-2025","08:47 AM","11:19 AM"
"98","1","49-Daimpiriyal Nagar","M225 UP85AG0953","W49R3","101","57","44","56","19-12-2025","06:46 AM","10:45 AM"
"99","4","34-Radhaniwas","M265 UP14PT8095","W34R5","186","104","82","55","19-12-2025","08:11 AM","11:19 AM"
"100","1","65-Holi Gali","UP14PT7749","W65R1","18","10","8","55","19-12-2025","07:25 AM","07:39 AM"
"101","4","34-Radhaniwas","MR011-70145214","W34WBR1","56","31","25","55","19-12-2025","08:25 AM","10:53 AM"
"102","2","55-Govind Nagar","MUP85AG0798","W55R2","161","89","72","55","19-12-2025","07:33 AM","08:55 AM"
"103","3","52-Chandrapuri","UP85AG0949","W52R3","288","156","132","54","19-12-2025","07:59 AM","09:25 AM"
"104","1","02-Ambedkar Nagar","RJO6GD1723","W2R1","616","333","283","54","19-12-2025","07:37 AM","11:01 AM"
"105","1","04-Ishapur Yamunapar","M006 UP14PT8096","W4R1","346","186","160","53","19-12-2025","08:19 AM","10:38 AM"
"106","4","21-Chaitanya Bihar","M269 UP85ET 7841","W21R2","163","87","76","53","19-12-2025","07:23 AM","11:16 AM"
"107","1","61-Chaubia Para","M252 UP85ET 7850_C","W61R1_C","30","16","14","53","19-12-2025","06:58 AM","09:49 AM"
"108","4","25-Chharaura","UP85AG0964","W25R1","413","219","194","53","19-12-2025","08:07 AM","10:17 AM"
"109","1","49-Daimpiriyal Nagar","M051 UP85AG0892","W49R1","17","9","8","52","19-12-2025","07:37 AM","10:59 AM"
"110","2","24-Sarai Azamabad","M040 UP14PT7938","W24R1","116","61","55","52","19-12-2025","08:15 AM","08:54 AM"
"111","2","24-Sarai Azamabad","M096   UP85AG0894","W24R3","349","183","166","52","19-12-2025","07:58 AM","11:20 AM"
"112","1","61-Chaubia Para","MR047-70145297","W61WBR2","21","11","10","52","19-12-2025","07:44 AM","09:41 AM"
"113","2","17-Bairaagpura","UP14PT7751","W17R1","355","185","170","52","19-12-2025","08:16 AM","10:49 AM"
"114","1","49-Daimpiriyal Nagar","M038 UP14PT7753","W49R2","39","20","19","51","19-12-2025","07:06 AM","09:55 AM"
"115","3","57-Balajipuram","M102   UP85AG0758","W57R4","346","177","169","51","19-12-2025","09:11 AM","11:00 AM"
"116","2","03-Girdharpur","M126  UP85AG0799","W3R2","330","168","162","50","19-12-2025","09:34 AM","11:17 AM"
"117","1","35-Bankhandi","M008 UP14PT7996","W35R2","195","97","98","49","19-12-2025","07:29 AM","10:46 AM"
"118","1","14-Lakshmi Nagar Yamunapar","M256 UP85ET 7861","W14R1","474","227","247","47","19-12-2025","09:04 AM","11:06 AM"
"119","4","51-Gaushala Nagar","DL51GD9456","W51WBR1","84","39","45","46","19-12-2025","08:17 AM","10:56 AM"
"120","2","47-Dwarkapuri","M236 UP85ET 7830","W47R1","354","162","192","45","19-12-2025","08:36 AM","10:40 AM"
"121","2","54-Pratap Nagar","M231 UP85ET 7837","W54R3","479","216","263","45","19-12-2025","08:15 AM","11:20 AM"
"122","1","40-Rajkumar","M052 UP85AG0790","W40R1","29","13","16","44","19-12-2025","08:18 AM","10:01 AM"
"123","3","41-Dhaulipiau","M060 UP85AG0881","W41R2","385","170","215","44","19-12-2025","07:48 AM","10:51 AM"
"124","1","68-Shanti Nagar","M178 UP85AG0760","W68R1","476","210","266","44","19-12-2025","07:53 AM","10:54 AM"
"125","1","49-Daimpiriyal Nagar","M045  UP85AG0890_C","W49R4","51","22","29","43","19-12-2025","07:19 AM","10:37 AM"
"126","4","21-Chaitanya Bihar","M022 UP14PT7993_C","W21R5","65","27","38","41","19-12-2025","07:47 AM","10:15 AM"
"127","4","69-Ratan Chhatri","M200 UP85AG0968","W69R1","171","71","100","41","19-12-2025","07:43 AM","08:56 AM"
"128","4","69-Ratan Chhatri","M028 UP85AG55681_C","W69R2","58","24","34","41","19-12-2025","07:37 AM","08:53 AM"
"129","4","67-Kemar Van","M219 UP85AG0962","W67R1","92","38","54","41","19-12-2025","09:17 AM","10:48 AM"
"130","1","42-Manoharpur","1748","W42R1","86","35","51","40","19-12-2025","07:51 AM","09:13 AM"
"131","4","67-Kemar Van","M222 UP85AG0952","W67R3","67","27","40","40","19-12-2025","08:03 AM","08:46 AM"
"132","3","59-Maholi Second","M233 UP85ET 7835","W59R2","110","44","66","40","19-12-2025","06:55 AM","10:48 AM"
"133","2","43-Ganeshra","M036 UP14PT8105_C","W43R3","43","17","26","39","19-12-2025","07:35 AM","11:16 AM"
"134","2","16-Bakalpur","M018 UP85AG55561_C","W16R1","451","168","283","37","19-12-2025","10:10 AM","11:14 AM"
"135","3","10-Aurangabad First","M268 UP85ET 7848","W10R1","282","104","178","36","19-12-2025","07:43 AM","08:53 AM"
"136","2","03-Girdharpur","M126  UP85AG0799","W3R1","280","103","177","36","19-12-2025","08:08 AM","08:50 AM"
"137","1","18-General ganj","M174 UP85AG0771","W18R3","25","9","16","36","19-12-2025","08:55 AM","10:49 AM"
"138","1","40-Rajkumar","M007 UP14PT7719_C","W40R2","6","2","4","33","19-12-2025","08:58 AM","10:14 AM"
"139","3","57-Balajipuram","M102   UP85AG0758","W57R1","528","165","363","31","19-12-2025","08:32 AM","09:17 AM"
"140","2","31-Navneet Nagar","M039 UP14PT7949","W31R3","407","123","284","30","19-12-2025","07:56 AM","11:10 AM"
"141","3","33-Palikhera","M076  UP85AG0779","W33R2","531","160","371","30","19-12-2025","07:40 AM","11:20 AM"
"142","2","16-Bakalpur","M073   UP85AG0753","W16R4","329","96","233","29","19-12-2025","10:08 AM","10:44 AM"
"143","3","11-Tarsi","M042 UP85AG0883","W11R1","101","29","72","28","19-12-2025","07:22 AM","08:16 AM"
"144","2","44-Radhika Bihar","M075   UP85AG0671","W44R2","400","114","286","28","19-12-2025","10:31 AM","11:19 AM"
"145","2","31-Navneet Nagar","M001 UP14PT7952","W31R2","140","37","103","26","19-12-2025","07:06 AM","08:12 AM"
"146","3","01-Birjapur","M108    UP85AG0796","W1R1","457","120","337","26","19-12-2025","08:03 AM","11:10 AM"
"147","3","41-Dhaulipiau","M060 UP85AG0881","W41R4","168","42","126","25","19-12-2025","07:40 AM","08:01 AM"
"148","3","38-Civil Lines","M024 UP14PT7999","W38R2","316","75","241","23","19-12-2025","09:43 AM","11:16 AM"
"149","4","09-Gandhi Nagar","MR012-70148523","W9MR1","110","26","84","23","19-12-2025","07:38 AM","08:00 AM"
"150","3","33-Palikhera","M226 UP85AG0969","W33R1","314","69","245","21","19-12-2025","07:43 AM","11:20 AM"
"151","2","56-Mandi Randas","M053 UP85AG0769","W56R2","15","3","12","20","19-12-2025","08:05 AM","08:50 AM"
"152","2","48-Satoha Asangpur","M258 UP85ET 7843","W48R1","352","66","286","18","19-12-2025","10:00 AM","10:52 AM"
"153","2","58-Gau Ghat","M111  UP85AG0882","W58R2","89","16","73","17","19-12-2025","08:03 AM","09:17 AM"
"154","2","45-Birla Mandir","M173 UP85AG0884","W45R3","124","20","104","16","19-12-2025","08:54 AM","09:47 AM"
"155","3","15-Maholi First","M057 UP85AG0774","W15R2","332","51","281","15","19-12-2025","08:17 AM","11:18 AM"
"156","3","33-Palikhera","M091 UP85AG0778","W33R5","234","35","199","14","19-12-2025","10:19 AM","10:40 AM"
"157","2","16-Bakalpur","M255 UP85ET 7849","W16R3","384","54","330","14","19-12-2025","08:06 AM","11:15 AM"
"158","2","45-Birla Mandir","DL51GD9539","W45R2","115","16","99","13","19-12-2025","08:06 AM","08:34 AM"
"159","2","36-Jaisingh Pura","M238 UP85ET 7831","W36R3","27","3","24","11","19-12-2025","10:53 AM","11:12 AM"
"160","4","21-Chaitanya Bihar","UP85AG0804","W21R6(C)","119","11","108","9","19-12-2025","08:41 AM","10:08 AM"
"161","4","66-Keshighat","M264 UP85ET 7867","W66R1","176","16","160","9","19-12-2025","10:35 AM","10:57 AM"
"162","3","32-Ranchibagar","M234 UP85ET 7832","W32R2","174","14","160","8","19-12-2025","09:34 AM","10:31 AM"
"163","2","56-Mandi Randas","M016 UP14PT7747","W56R3","51","3","48","5","19-12-2025","07:27 AM","07:29 AM"
"164","3","06-Aduki","M223 UP85AG0959","W6R1","22","1","21","4","19-12-2025","07:18 AM","07:18 AM"
"165","3","59-Maholi Second","M233 UP85ET 7835","W59R3","68","3","65","4","19-12-2025","10:50 AM","10:50 AM"
"166","1","07-Lohvan","M224 UP85AG0961","W7R2","183","7","176","3","19-12-2025","09:18 AM","09:19 AM"
"167","1","61-Chaubia Para","MR022-70148549","W61WR3","56","2","54","3","19-12-2025","09:07 AM","09:15 AM"
"168","3","33-Palikhera","M076  UP85AG0779","W33R3","357","2","355","0","19-12-2025","11:00 AM","11:00 AM"
"169","3","06-Aduki","M273 UP85ET 7846","W6R3","376","1","375","0","19-12-2025","10:40 AM","10:40 AM"
"170","3","57-Balajipuram","M185 UP85AG0756","W57R2","519","0","519","0","19-12-2025","",""
"171","4","34-Radhaniwas","DL51GD9456","W34R3","360","0","360","0","19-12-2025","",""
"172","2","24-Sarai Azamabad","M137 UP85AG0954_BREAKDOWN","W24R5","354","0","354","0","19-12-2025","",""
"173","3","06-Aduki","M064 UP85AG0673","W6R4","292","0","292","0","19-12-2025","",""
"174","2","43-Ganeshra","M109 UP85AG0794","W43R1","270","0","270","0","19-12-2025","",""
"175","2","20-Krishna Nagar First","M128 DL51GD9569","W20R1","269","0","269","0","19-12-2025","",""
"176","2","36-Jaisingh Pura","M182 UP85AG0797","W36R1","269","0","269","0","19-12-2025","",""
"177","3","28-Aurangabad Second","M027 UP14PT8097","W28R3","268","0","268","0","19-12-2025","",""
"178","4","21-Chaitanya Bihar","M263 UP85ET 7862","W21R4","268","0","268","0","19-12-2025","",""
"179","2","12-Radhe Shyam Colony","M094   UP85AG0759","W12R1","253","0","253","0","19-12-2025","",""
"180","3","06-Aduki","M273 UP85ET 7846","W6R2","234","0","234","0","19-12-2025","",""
"181","2","45-Birla Mandir","","W45MR1","220","0","220","0","19-12-2025","",""
"182","2","12-Radhe Shyam Colony","M094   UP85AG0759","W12R2","220","0","220","0","19-12-2025","",""
"183","4","08-Atas","M204 UP85AG0955","W8R2","207","0","207","0","19-12-2025","",""
"184","1","02-Ambedkar Nagar","MR029-70145446","W2MR1","203","0","203","0","19-12-2025","",""
"185","2","24-Sarai Azamabad","UP85AG0752","W24R2","201","0","201","0","19-12-2025","",""
"186","1","22-Badhri Nagar","M134 UP85AG0970","W22R1","196","0","196","0","19-12-2025","",""
"187","4","70-Biharipur","MR031-70147434","W70MR1","191","0","191","0","19-12-2025","",""
"188","1","18-General ganj","8017","W18R1","167","0","167","0","19-12-2025","",""
"189","1","07-Lohvan","MR005-70145768","W7MR1","166","0","166","0","19-12-2025","",""
"190","2","54-Pratap Nagar","M245 DL51EV0265","W54R2","158","0","158","0","19-12-2025","",""
"191","3","28-Aurangabad Second","M027 UP14PT8097","W28R1","156","0","156","0","19-12-2025","",""
"192","3","10-Aurangabad First","","W10R3","151","0","151","0","19-12-2025","",""
"193","2","12-Radhe Shyam Colony","MR013-70147533","W12MR1","150","0","150","0","19-12-2025","",""
"194","4","50-Patharpura","M099 0787","W50R1","140","0","140","0","19-12-2025","",""
"195","2","17-Bairaagpura","","W17MR1","133","0","133","0","19-12-2025","",""
"196","1","26-Naya Nagla","RJ06GD5348","W26R2","132","0","132","0","19-12-2025","",""
"197","1","14-Lakshmi Nagar Yamunapar","M124 DL51EV0233","W14R2","127","0","127","0","19-12-2025","",""
"198","4","34-Radhaniwas","DL51GD9456","W34R6","123","0","123","0","19-12-2025","",""
"199","4","66-Keshighat","MR006-70143904","W66WBR1","122","0","122","0","19-12-2025","",""
"200","2","45-Birla Mandir","","W45MR3","120","0","120","0","19-12-2025","",""
"201","4","70-Biharipur","MR009-70145685","W70WBR1","119","0","119","0","19-12-2025","",""
"202","1","26-Naya Nagla","","W26R1","117","0","117","0","19-12-2025","",""
"203","3","57-Balajipuram","M201 UP85AG0755","W57R3","112","0","112","0","19-12-2025","",""
"204","2","16-Bakalpur","M101  UP85AG0751","W16R2","111","0","111","0","19-12-2025","",""
"205","4","21-Chaitanya Bihar","M022 UP14PT7993_C","W21R8","107","0","107","0","19-12-2025","",""
"206","1","02-Ambedkar Nagar","MR040-70148093","W2MR2","105","0","105","0","19-12-2025","",""
"207","4","50-Patharpura","9579","W50ER2","101","0","101","0","19-12-2025","",""
"208","1","02-Ambedkar Nagar","M092 UP14PT7727_C","W2R2(C)","97","0","97","0","19-12-2025","",""
"209","3","06-Aduki","M064 UP85AG0673","W6R6","94","0","94","0","19-12-2025","",""
"210","3","10-Aurangabad First","","W10R2","82","0","82","0","19-12-2025","",""
"211","2","58-Gau Ghat","M183 UP85AG0912(ER)","W58R1","81","0","81","0","19-12-2025","",""
"212","2","56-Mandi Randas","MR035-70148598","W56WBR1","77","0","77","0","19-12-2025","",""
"213","4","13-Sunrakh","UP85ET7858","W13R3","74","0","74","0","19-12-2025","",""
"214","4","70-Biharipur","MR024-70143946","W70WBR2","68","0","68","0","19-12-2025","",""
"215","1","63-Maliyaan Sadar","","W63MR1","65","0","65","0","19-12-2025","",""
"216","1","18-General ganj","MR003-70144647","W18MR1","65","0","65","0","19-12-2025","",""
"217","1","64-Ghati Bahalray","M177 UP85AG0793_C","W64R1","57","0","57","0","19-12-2025","",""
"218","4","70-Biharipur","MR048-70145701","W70MR2","57","0","57","0","19-12-2025","",""
"219","2","43-Ganeshra","M078   UP85AG0757","W43R4","56","0","56","0","19-12-2025","",""
"220","1","64-Ghati Bahalray","","W64R2","50","0","50","0","19-12-2025","",""
"221","1","65-Holi Gali","","W65MR1","48","0","48","0","19-12-2025","",""
"222","2","56-Mandi Randas","MR004-70147590","W56WBR2","47","0","47","0","19-12-2025","",""
"223","4","50-Patharpura","MR001-70143920","W50WBR1","46","0","46","0","19-12-2025","",""
"224","1","35-Bankhandi","MR045-70145206","W35MR1","45","0","45","0","19-12-2025","",""
"225","1","61-Chaubia Para","","W61WBR1","37","0","37","0","19-12-2025","",""
"226","3","52-Chandrapuri","","W52MR1","27","0","27","0","19-12-2025","",""
"227","1","18-General ganj","M050 UP85AG0772_C","W18R2","27","0","27","0","19-12-2025","",""
"228","1","05-Bharatpur Gate","MR030-70143656","W5MR1","25","0","25","0","19-12-2025","",""
"229","2","45-Birla Mandir","","W45MR2","22","0","22","0","19-12-2025","",""
"230","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","17","0","17","0","19-12-2025","",""
"231","2","24-Sarai Azamabad","M199 UP85AG0773_C","W24R4(C)","14","0","14","0","19-12-2025","",""
"232","3","41-Dhaulipiau","MR027-70143441","W41MR1","9","0","9","0","19-12-2025","",""
"233","3","27-Baad","M243 UP85ET 7836","W27R4","0","0","0","0","19-12-2025","",""
"234","3","27-Baad","M275 UP85AG7863","W27R2","0","0","0","0","19-12-2025","",""
"235","2","56-Mandi Randas","MR032-70145651","W56WBR3","0","0","0","0","19-12-2025","",""
"236","2","56-Mandi Randas","UP14PT7752","W56R4_COMMERCIAL","0","0","0","0","19-12-2025","",""
