"S.No","Zone & Circle","Vehicle Number","Vehicle Type","Ward Name","Trip Count","Dump Site Name","Date","In Time(s)","Out Time(s)","Vehicle Route","TAT"
"55","1","UP16RT3978","Primary - Euler Tipper","02-Ambedkar Nagar","1","Mathura MSW Plant","13-02-2026","12:41 PM","12:45 PM","W2R1","4"
"56","3","UP16RT3863","Primary - Euler Tipper","10-Aurangabad First","2","Mathura MSW Plant","13-02-2026","10:28 AM | 10:34 AM","10:29 AM | 10:35 AM","W10R2","1"
"57","3","UP16RT3862","Primary - Euler Tipper","01-Birjapur","2","Mathura MSW Plant","13-02-2026","11:57 AM | 12:06 PM","11:59 AM | 12:07 PM","W22R1","1"
"58","2","UP16RT3858","Primary - Euler Tipper","55-Govind Nagar","4","Mathura MSW Plant","13-02-2026","10:06 AM | 10:16 AM | 01:18 PM | 01:25 PM","10:11 AM | 10:17 AM | 01:19 PM | 01:27 PM","W55R1","2"
"59","3","UP16RT3855","Primary - Euler Tipper","29-Koyla Alipur","2","Mathura MSW Plant","13-02-2026","12:12 PM | 12:30 PM","12:17 PM | 12:31 PM","W27R5","3"
"60","3","UP16RT3854","Primary - Euler Tipper","06-Aduki","1","Mathura MSW Plant","13-02-2026","09:26 AM","09:27 AM","W32R4,W6R1","1"
"61","2","UP16RT3853","Primary - Euler Tipper","60-Jagannath Puri","1","Mathura MSW Plant","13-02-2026","11:39 AM","11:40 AM","W60R1","1"
"62","3","UP16RT3852","Primary - Euler Tipper","01-Birjapur","1","Mathura MSW Plant","13-02-2026","09:29 AM","09:31 AM","","1"
"63","3","UP16RT3850","Primary - Euler Tipper","01-Birjapur","1","Mathura MSW Plant","13-02-2026","11:41 AM","11:48 AM","W6R5","6"
"64","2","UP16RT3834","Primary - Euler Tipper","43-Ganeshra","2","Mathura MSW Plant","13-02-2026","10:45 AM | 01:37 PM","10:48 AM | 01:41 PM","W43R1","3"
"65","3","UP16RT3833","Primary - Euler Tipper","28-Aurangabad Second","3","Mathura MSW Plant","13-02-2026","09:22 AM | 12:38 PM | 12:50 PM","09:23 AM | 12:45 PM | 12:51 PM","W28R1","2"
"66","3","UP16RT3831","Primary - Euler Tipper","06-Aduki","1","Mathura MSW Plant","13-02-2026","12:07 PM","12:12 PM","W6R2","4"
"67","3","UP16RT3830","Primary - Euler Tipper","01-Birjapur","1","Mathura MSW Plant","13-02-2026","10:15 AM","10:17 AM","W20R1,W20R2","1"
"68","3","UP16RT3829","Primary - Euler Tipper","01-Birjapur","1","Mathura MSW Plant","13-02-2026","12:06 PM","12:11 PM","W49R3","5"
"69","3","UP16RT3828","Primary - Euler Tipper","29-Koyla Alipur","2","Mathura MSW Plant","13-02-2026","11:09 AM | 11:18 AM","11:11 AM | 11:19 AM","W3R2","1"
"70","3","UP16RT3827","Primary - Euler Tipper","29-Koyla Alipur","1","Mathura MSW Plant","13-02-2026","10:23 AM","10:26 AM","W29R1","3"
"71","3","UP16RT3826","Primary - Euler Tipper","57-Balajipuram","1","Mathura MSW Plant","13-02-2026","11:24 AM","11:26 AM","W57R4","1"
"72","3","UP16RT3825","Primary - Euler Tipper","27-Baad","2","Mathura MSW Plant","13-02-2026","09:57 AM | 12:38 PM","09:58 AM | 12:42 PM","W27R3","2"
"73","3","UP16RT3822","Primary - Euler Tipper","01-Birjapur","1","Mathura MSW Plant","13-02-2026","01:45 PM","01:47 PM","W40R2","2"
"74","2","UP16RT3821","Primary - Euler Tipper","60-Jagannath Puri","1","Mathura MSW Plant","13-02-2026","10:52 AM","10:54 AM","W60R2","1"
"75","4","UP16RT3820","Primary - Euler Tipper","51-Gaushala Nagar","2","FCTS PLANT","13-02-2026","12:39 AM | 09:05 AM","06:34 AM | 09:06 AM","W70R1","177"
"76","3","UP16RT3819","Primary - Euler Tipper","01-Birjapur","2","Mathura MSW Plant","13-02-2026","10:03 AM | 12:43 PM","10:09 AM | 12:48 PM","W52R3","5"
"77","3","UP16RT3817","Primary - Euler Tipper","27-Baad","1","Mathura MSW Plant","13-02-2026","01:58 PM","01:59 PM","W27R4","1"
"78","2","UP16RT3816","Primary - Euler Tipper","44-Radhika Bihar","1","Mathura MSW Plant","13-02-2026","12:13 PM","12:17 PM","W44R2","4"
"79","3","UP16RT3815","Primary - Euler Tipper","01-Birjapur","2","Mathura MSW Plant","13-02-2026","10:21 AM | 11:47 AM","10:22 AM | 11:49 AM","W14R1","1"
"80","2","UP16RT3814","Primary - Euler Tipper","45-Birla Mandir","1","Mathura MSW Plant","13-02-2026","09:25 AM","09:27 AM","W10R1","2"
"81","3","UP16RT3813","Primary - Euler Tipper","01-Birjapur","1","Mathura MSW Plant","13-02-2026","12:14 PM","12:17 PM","W7R2","3"
"82","3","UP16RT3811","Primary - Euler Tipper","01-Birjapur","1","Mathura MSW Plant","13-02-2026","01:03 PM","01:05 PM","W52R2","2"
"83","3","UP16RT3810","Primary - Euler Tipper","01-Birjapur","2","Mathura MSW Plant","13-02-2026","09:54 AM | 12:24 PM","09:56 AM | 12:26 PM","W6R4,W1R3","1"
"84","2","UP16RT3808","Primary - Euler Tipper","47-Dwarkapuri","2","Mathura MSW Plant","13-02-2026","08:50 AM | 12:05 PM","08:52 AM | 12:10 PM","W47R2","3"
"85","3","UP16RT3805","Primary - Euler Tipper","01-Birjapur","2","Mathura MSW Plant","13-02-2026","09:46 AM | 01:00 PM","09:48 AM | 01:01 PM","W43R2,W43R3","1"
"86","1","UP16RT3804","Primary - Euler Tipper","35-Bankhandi","2","Mathura MSW Plant","13-02-2026","10:31 AM | 01:16 PM","10:33 AM | 01:18 PM","W35R2,W35R1","2"
"87","3","UP16RT3802","Primary - Euler Tipper","01-Birjapur","1","Mathura MSW Plant","13-02-2026","08:34 AM","08:36 AM","W28R2","1"
"88","3","UP16RT3801","Primary - Euler Tipper","01-Birjapur","1","Mathura MSW Plant","13-02-2026","10:57 AM","10:58 AM","","1"
"89","3","UP16RT3801","Primary - Euler Tipper","01-Birjapur","2","RC veeresh","13-02-2026","08:15 AM | 09:46 AM","08:53 AM | 09:48 AM","","20"
"90","3","UP14RT3308","Secondary - JCB 3DX","01-Birjapur","1","FCTS PLANT","13-02-2026","11:17 AM","11:34 AM","","16"
"91","4","UP14PT8010_BOLERO","Secondary - Bolero","21-Chaitanya Bihar","4","FCTS PLANT","13-02-2026","06:18 AM | 09:29 AM | 01:20 PM | 02:26 PM","07:17 AM | 09:44 AM | 02:00 PM | 02:30 PM","","29"
"92","3","UP14PT7948","Primary - Auto Tipper","15-Maholi First","1","RC veeresh","13-02-2026","09:24 AM","09:39 AM","W15R1,W33R5","14"
"93","1","UP14PT7749","Primary - Auto Tipper","65-Holi Gali","2","Mathura MSW Plant","13-02-2026","11:33 AM | 01:08 PM","11:36 AM | 01:10 PM","W65R1","1"
"94","2","UP14ET1439 H","Secondary - HYVA","03-Girdharpur","1","AgraVatika","13-02-2026","12:29 PM","02:07 PM","","97"
"95","2","UP14ET1439 H","Secondary - HYVA","03-Girdharpur","3","Mathura MSW Plant","13-02-2026","10:18 AM | 10:46 AM | 03:01 PM","10:29 AM | 10:54 AM | 03:07 PM","","8"
"96","3","U85AG0875","Secondary - Tractor Trolley","01-Birjapur","2","Mathura MSW Plant","13-02-2026","08:24 AM | 10:28 AM","08:26 AM | 10:31 AM","","2"
"97","1","RJ06GD1038","Primary - Auto Tipper","64-Ghati Bahalray","1","Mathura MSW Plant","13-02-2026","10:47 AM","10:48 AM","W64R1","1"
"98","2","MUP85AG0798","Primary - Auto Tipper","55-Govind Nagar","3","RC Sonveer","13-02-2026","08:35 AM | 09:48 AM | 11:47 AM","08:48 AM | 09:51 AM | 11:57 AM","W55R2","7"
"99","4","M278 UP85ET 7840","Primary - Auto Tipper","09-Gandhi Nagar","2","FCTS PLANT","13-02-2026","09:46 AM | 12:07 PM","09:53 AM | 12:14 PM","W9R1","6"
"100","4","M277 UP85ET 7842","Primary - Auto Tipper","21-Chaitanya Bihar","2","FCTS PLANT","13-02-2026","10:33 AM | 12:06 PM","10:40 AM | 12:11 PM","W21R1","5"
"101","3","M275 UP85AG7863","Primary - Auto Tipper","27-Baad","1","AgraVatika","13-02-2026","10:56 AM","11:03 AM","W24R1,W43R6","6"
"102","3","M273 UP85ET 7846","Primary - Auto Tipper","06-Aduki","1","Mathura MSW Plant","13-02-2026","11:14 AM","11:15 AM","W16R2","1"
"103","1","M271 UP85ET 7847_C","Primary - Auto Tipper","65-Holi Gali","1","Mathura MSW Plant","13-02-2026","09:50 AM","09:53 AM","W65R4","3"
"104","3","M268 UP85ET 7848","Primary - Auto Tipper","10-Aurangabad First","2","Mathura MSW Plant","13-02-2026","10:03 AM | 12:28 PM","10:08 AM | 12:30 PM","W56R4","2"
"105","1","M266 UP85ET 7864","Primary - Auto Tipper","14-Lakshmi Nagar Yamunapar","3","FCTS PLANT","13-02-2026","06:48 AM | 09:46 AM | 11:55 AM","07:11 AM | 09:56 AM | 01:39 PM","W8R2","44"
"106","4","M264 UP85ET 7867","Primary - Auto Tipper","66-Keshighat","1","FCTS PLANT","13-02-2026","12:10 PM","12:12 PM","W66R1","2"
"107","4","M263 UP85ET 7862","Primary - Auto Tipper","21-Chaitanya Bihar","2","FCTS PLANT","13-02-2026","10:12 AM | 12:35 PM","10:16 AM | 12:51 PM","W21R4","10"
"108","2","M262 UP85ET 7851","Primary - Auto Tipper","56-Mandi Randas","2","Mathura MSW Plant","13-02-2026","10:08 AM | 11:41 AM","10:09 AM | 11:42 AM","W56R5","1"
"109","1","M259 UP85ET 7852","Primary - Auto Tipper","19-Ramnagar Yamunapar","2","Mathura MSW Plant","13-02-2026","08:56 AM | 11:49 AM","08:57 AM | 11:50 AM","W19R1,W7R3","1"
"110","2","M258 UP85ET 7843","Primary - Auto Tipper","48-Satoha Asangpur","2","Mathura MSW Plant","13-02-2026","10:00 AM | 12:25 PM","10:03 AM | 12:27 PM","W65R5","2"
"111","2","M257 UP85ET 7845","Primary - Auto Tipper","48-Satoha Asangpur","3","AgraVatika","13-02-2026","09:38 AM | 11:03 AM | 11:44 AM","09:50 AM | 11:08 AM | 11:45 AM","W3R3,W16R1,W48R2","5"
"112","1","M256 UP85ET 7861","Primary - Auto Tipper","14-Lakshmi Nagar Yamunapar","2","Mathura MSW Plant","13-02-2026","09:04 AM | 11:28 AM","09:05 AM | 11:30 AM","W48R1","1"
"113","2","M255 UP85ET 7849","Primary - Auto Tipper","16-Bakalpur","1","Mathura MSW Plant","13-02-2026","11:48 AM","11:50 AM","W16R3","1"
"114","2","M254 UP85ET 7853","Primary - Auto Tipper","37-Baldevpuri","2","RC veeresh","13-02-2026","10:26 AM | 12:01 PM","10:28 AM | 12:05 PM","W37R2","3"
"115","3","M253 UP85ET 7854","Primary - Auto Tipper","29-Koyla Alipur","2","Mathura MSW Plant","13-02-2026","09:04 AM | 11:21 AM","09:06 AM | 11:23 AM","W4R1","1"
"116","1","M252 UP85ET 7850_C","Primary - Auto Tipper","61-Chaubia Para","2","Mathura MSW Plant","13-02-2026","09:30 AM | 12:02 PM","09:31 AM | 12:08 PM","W61R1_C","3"
"117","4","M244 UP85AG0789_C","Primary - Auto Tipper","51-Gaushala Nagar","6","FCTS PLANT","13-02-2026","07:25 AM | 07:57 AM | 08:19 AM | 09:10 AM | 10:14 AM | 11:15 AM","07:29 AM | 07:58 AM | 08:21 AM | 09:15 AM | 10:27 AM | 11:18 AM","W51R3","4"
"118","2","M238 UP85ET 7831","Primary - Auto Tipper","36-Jaisingh Pura","2","AgraVatika","13-02-2026","09:18 AM | 10:42 AM","09:48 AM | 10:47 AM","W36R1","17"
"119","2","M237 UP85ET 7866","Primary - Auto Tipper","31-Navneet Nagar","1","Mathura MSW Plant","13-02-2026","10:33 AM","10:34 AM","W31R1","1"
"120","2","M236 UP85ET 7830","Primary - Auto Tipper","47-Dwarkapuri","2","Mathura MSW Plant","13-02-2026","09:50 AM | 11:57 AM","09:52 AM | 12:00 PM","W47R1","2"
"121","3","M235 UP85ET 7838_C","Primary - Auto Tipper","52-Chandrapuri","1","Mathura MSW Plant","13-02-2026","10:04 AM","10:07 AM","W44R1","2"
"122","3","M234 UP85ET 7832","Primary - Auto Tipper","32-Ranchibagar","3","Mathura MSW Plant","13-02-2026","10:44 AM | 12:38 PM | 02:50 PM","10:46 AM | 12:43 PM | 02:55 PM","W18R1","3"
"123","3","M233 UP85ET 7835","Primary - Auto Tipper","59-Maholi Second","2","Mathura MSW Plant","13-02-2026","11:01 AM | 12:39 PM","11:03 AM | 12:42 PM","W65R2","2"
"124","2","M231 UP85ET 7837","Primary - Auto Tipper","54-Pratap Nagar","3","RC veeresh","13-02-2026","09:49 AM | 11:28 AM | 01:16 PM","09:52 AM | 11:30 AM | 01:20 PM","W54R3","2"
"125","3","M226 UP85AG0969","Primary - Auto Tipper","06-Aduki","1","Mathura MSW Plant","13-02-2026","12:01 PM","12:07 PM","W33R4","5"
"126","1","M225 UP85AG0953","Primary - Auto Tipper","49-Daimpiriyal Nagar","2","FCTS PLANT","13-02-2026","07:10 AM | 08:46 AM","07:14 AM | 08:52 AM","W34R2","5"
"127","3","M223 UP85AG0959","Primary - Auto Tipper","06-Aduki","3","Mathura MSW Plant","13-02-2026","09:22 AM | 11:25 AM | 11:34 AM","09:25 AM | 11:27 AM | 11:36 AM","W2R2(C)","1"
"128","4","M222 UP85AG0952","Primary - Auto Tipper","21-Chaitanya Bihar","3","FCTS PLANT","13-02-2026","07:21 AM | 09:16 AM | 01:27 PM","07:23 AM | 09:24 AM | 01:33 PM","W67R3","4"
"129","4","M209  UP85AG0679","Primary - Auto Tipper","70-Biharipur","2","FCTS PLANT","13-02-2026","09:11 AM | 11:27 AM","09:47 AM | 12:21 PM","","45"
"130","4","M204 UP85AG0955","Primary - Auto Tipper","08-Atas","2","FCTS PLANT","13-02-2026","07:41 AM | 12:09 PM","07:47 AM | 03:17 PM","W8R1","96"
"131","4","M200 UP85AG0968","Primary - Auto Tipper","69-Ratan Chhatri","1","FCTS PLANT","13-02-2026","12:21 PM","12:34 PM","W13R2,W69R1","13"
"132","4","M197 DL51GD9401_C","Primary - Auto Tipper","69-Ratan Chhatri","2","FCTS PLANT","13-02-2026","07:56 AM | 09:21 AM","08:02 AM | 09:33 AM","W67R4,W69R3","8"
"133","1","M191 UP85AG0948","Primary - Auto Tipper","63-Maliyaan Sadar","1","Mathura MSW Plant","13-02-2026","11:01 AM","11:04 AM","W63R1","3"
"134","3","M181 UP85AG0763","Primary - Auto Tipper","52-Chandrapuri","2","RC Sonveer","13-02-2026","09:01 AM | 11:18 AM","09:07 AM | 11:24 AM","W52R1","6"
"135","3","M179 UP85AG0720_C","Primary - Auto Tipper","27-Baad","2","Mathura MSW Plant","13-02-2026","12:17 PM | 12:25 PM","12:18 PM | 12:27 PM","W27R1","1"
"136","1","M178 UP85AG0760","Primary - Auto Tipper","68-Shanti Nagar","2","RC veeresh","13-02-2026","10:39 AM | 11:18 AM","10:45 AM | 11:37 AM","W68R1","12"
"137","1","M175 DL51GD9465","Primary - Auto Tipper","19-Ramnagar Yamunapar","1","Mathura MSW Plant","13-02-2026","09:21 AM","09:24 AM","W44R3,W19R4","2"
"138","1","M142 UP85ET 7844","Primary - Auto Tipper","22-Badhri Nagar","3","AgraVatika","13-02-2026","09:18 AM | 09:32 AM | 12:15 PM","09:25 AM | 09:34 AM | 12:19 PM","W36R3","4"
"139","2","M141 UP14NT7638","Primary - Auto Tipper","39-Mahavidhya Colony","1","Mathura MSW Plant","13-02-2026","11:32 AM","11:34 AM","","1"
"140","1","M132    UP85AG0770","Primary - Auto Tipper","35-Bankhandi","3","Mathura MSW Plant","13-02-2026","12:01 AM | 01:12 AM | 12:43 PM","12:03 AM | 01:14 AM | 12:47 PM","","1"
"141","3","M129   UP85AG0780","Primary - Auto Tipper","32-Ranchibagar","1","RC veeresh","13-02-2026","12:29 AM","12:31 AM","W32R2","1"
"142","2","M127   UP85AG0762","Primary - Auto Tipper","30-Krishna Nagar Second","2","RC Sonveer","13-02-2026","10:08 AM | 11:54 AM","10:17 AM | 12:02 PM","W30R2","8"
"143","2","M126  UP85AG0799","Primary - Auto Tipper","03-Girdharpur","1","RC Sonveer","13-02-2026","11:43 AM","11:47 AM","W3R1","4"
"144","1","M124 DL51EV0233","Primary - Auto Tipper","14-Lakshmi Nagar Yamunapar","2","Mathura MSW Plant","13-02-2026","08:19 AM | 09:21 AM","08:22 AM | 09:23 AM","W14R2","2"
"145","3","M116 UP85AG0768","Primary - Auto Tipper","27-Baad","4","RC Sonveer","13-02-2026","08:30 AM | 10:00 AM | 12:07 PM | 01:10 PM","08:40 AM | 10:07 AM | 12:10 PM | 01:12 PM","W16R6,W33R2","4"
"146","1","M115 UP85AG0887_C","Primary - Auto Tipper","14-Lakshmi Nagar Yamunapar","1","Mathura MSW Plant","13-02-2026","11:34 AM","11:35 AM","W19R3","1"
"147","4","M114    UP85AGT0957","Primary - Auto Tipper","21-Chaitanya Bihar","3","FCTS PLANT","13-02-2026","06:57 AM | 07:27 AM | 11:38 AM","07:22 AM | 07:35 AM | 11:59 AM","W67R1","17"
"148","4","M113   UP85AGT0966","Primary - Auto Tipper","13-Sunrakh","1","FCTS PLANT","13-02-2026","11:48 AM","11:54 AM","W13R1","5"
"149","3","M112   UP85AG0885_C","Primary - Auto Tipper","06-Aduki","1","Mathura MSW Plant","13-02-2026","11:03 AM","11:05 AM","W23R2","1"
"150","4","M105   UP85AG0800","Primary - Auto Tipper","21-Chaitanya Bihar","2","FCTS PLANT","13-02-2026","07:13 AM | 09:54 AM","07:18 AM | 10:00 AM","W21R3","5"
"151","3","M100   UP85AG0886_C","Primary - Auto Tipper","41-Dhaulipiau","2","Mathura MSW Plant","13-02-2026","01:23 PM | 01:32 PM","01:26 PM | 01:36 PM","","3"
"152","4","M099 0787","Primary - Auto Tipper","21-Chaitanya Bihar","1","FCTS PLANT","13-02-2026","12:15 PM","12:40 PM","W50R1","25"
"153","4","M098   UP85AGT0956","Primary - Auto Tipper","51-Gaushala Nagar","2","FCTS PLANT","13-02-2026","08:08 AM | 12:18 PM","08:09 AM | 12:34 PM","W51R1","8"
