S.No.,QR Code ID,Site Name,Zone & Circle,Ward,Building/Street,Type,Latitude,Longitude
63,MVNNDG57,SURENDRA,2,55-Govind Nagar,GOIND NAGAR,Dhalao Ghar,27.506409,77.662988
64,MVNNDG63,naresh,2,56-Mandi Randas,DWARIKADHEESH MANDIR ,Dhalao Ghar,27.506118,77.68409251
65,MVNNDG19,DEEPAK,3,57-Balajipuram,balajipuram Priyanshu janseva Kendra ke pass,Dhalao Ghar,27.451781,77.688808
66,MVNNDG59,SANJIV,2,58-Gau Ghat,near jay shree colony gaughat,Dhalao Ghar,27.511527,77.675048
67,MVNNDG78,ANKIT,3,59-Maholi Second,Jai Gurudev Mandir Ke pass,Dhalao Ghar,27.481146,77.656433
68,MVNNDG68,SONVEER,3,59-Maholi Second,Pushpanjali  Road Mathura Lajpat Nagar,Dhalao Ghar,27.480218,77.656521
69,MVNNDG90,Aryan,2,60-Jagannath Puri,Aman Nath School,Dhalao Ghar,27.499584,77.66987
70,MVNNDG56,ARYAN ,2,60-Jagannath Puri,POTRA KUND,Dhalao Ghar,27.50451,77.666534
71,MVNNDG30,MOHIT SAINI,1,63-Maliyaan Sadar,Bengali colony Mahadev Ghat ke pas ,Dhalao Ghar,27.461455,77.674227
72,MVNNDG7,VISHNU,4,66-Keshighat,KESI GHAT KALI MANDIR,Dhalao Ghar,27.586943,77.703918
73,MVNNDG8,HEMANT,4,67-Kemar Van,KABADI VALI WALI,Dhalao Ghar,27.570569,77.684786
74,MVNNDG6,HEMANT,4,67-Kemar Van,ramswaroop pandal,Dhalao Ghar,27.574971,77.682756
75,MVNNDG3,HEMANT,4,67-Kemar Van,sukhda bhakti,Dhalao Ghar,27.571316,77.685132
76,MVNNDG36,VEERESH,1,68-Shanti Nagar,"Near Bajrang Chauraha, Maholi Road",Dhalao Ghar,27.485381,77.666568
77,MVNNDG34,VEERESH,1,68-Shanti Nagar,"Opposite Bajrang Dharamkanta, Maholi Road",Dhalao Ghar,27.480816,77.65819
78,MVNNDG10,HEMANT,4,69-Ratan Chhatri,PILI KOTHI,Dhalao Ghar,27.576148,77.685274
79,MVNNDG5,HEMANT,4,69-Ratan Chhatri,RATANCHATRI,Dhalao Ghar,27.576497,77.685342
80,MVNNDG11,MOHIT VRINDAVAN,4,70-Biharipur,JUGAL GHAT,Dhalao Ghar,27.558692,77.688077
