"S.No.","Zone & Circle","Ward Name","Vehicle Number","Route Name","Total","Covered","Not Covered","Coverage","Date","Route In Time","Route Out Time"
"47","2","37-Baldevpuri","M077  UP85AG0761_C","W37R1","403","395","8","98","01-01-2026","08:08 AM","11:19 AM"
"48","3","59-Maholi Second","UP85AG0777","W59R1","283","277","6","97","03-01-2026","07:46 AM","10:44 AM"
"49","2","24-Sarai Azamabad","M096   UP85AG0894","W24R3","468","458","10","97","05-01-2026","07:55 AM","12:24 PM"
"50","4","34-Radhaniwas","DL51GD9441","W34R3","557","545","12","97","04-01-2026","06:59 AM","11:35 AM"
"51","4","34-Radhaniwas","DL51GD9441","W34R3","557","545","12","97","01-01-2026","07:41 AM","12:24 PM"
"52","3","32-Ranchibagar","M129   UP85AG0780","W32R2","309","302","7","97","09-01-2026","07:38 AM","11:33 AM"
"53","3","59-Maholi Second","UP85AG0777","W59R1","307","300","7","97","08-01-2026","07:45 AM","10:20 AM"
"54","2","37-Baldevpuri","M077  UP85AG0761_C","W37R1","403","393","10","97","02-01-2026","07:51 AM","11:18 AM"
"55","2","47-Dwarkapuri","M079   UP85AG0754","W47R3","161","157","4","97","02-01-2026","09:05 AM","11:33 AM"
"56","2","55-Govind Nagar","M017 UP14PT7724","W55R3","161","157","4","97","08-01-2026","07:57 AM","11:18 AM"
"57","2","47-Dwarkapuri","M079   UP85AG0754","W47R3","161","157","4","97","05-01-2026","08:52 AM","11:55 AM"
"58","2","47-Dwarkapuri","M079   UP85AG0754","W47R3","161","157","4","97","04-01-2026","08:19 AM","12:00 PM"
"59","3","59-Maholi Second","UP85AG0777","W59R3","77","75","2","97","02-01-2026","07:58 AM","09:17 AM"
"60","3","59-Maholi Second","UP85AG0777","W59R3","77","75","2","97","09-01-2026","07:58 AM","09:00 AM"
"61","2","12-Radhe Shyam Colony","MR013-70147533","W12MR1","153","149","4","97","08-01-2026","07:34 AM","12:12 PM"
"62","1","65-Holi Gali","M054 UP14PT7728","W65R3","153","149","4","97","05-01-2026","07:00 AM","11:46 AM"
"63","1","65-Holi Gali","M054 UP14PT7728","W65R3","152","148","4","97","02-01-2026","07:20 AM","10:45 AM"
"64","1","65-Holi Gali","UP14PT7749","W65R1","38","37","1","97","02-01-2026","07:21 AM","11:13 AM"
"65","2","37-Baldevpuri","M077  UP85AG0761_C","W37R1","404","392","12","97","07-01-2026","08:17 AM","11:05 AM"
"66","2","24-Sarai Azamabad","M096   UP85AG0894","W24R3","468","454","14","97","04-01-2026","07:29 AM","12:12 PM"
"67","1","02-Ambedkar Nagar","M092 UP14PT7727_C","W2R2(C)","100","97","3","97","06-01-2026","08:14 AM","10:47 AM"
"68","1","53-Krishna Puri","M055 UP85AG0891_C","W53R1","227","220","7","96","05-01-2026","07:18 AM","09:54 AM"
"69","2","24-Sarai Azamabad","UP85AG0752","W24R2","225","218","7","96","07-01-2026","07:48 AM","12:42 PM"
"70","3","01-Birjapur","M014 UP14PT7936","W1R2","601","582","19","96","07-01-2026","07:55 AM","11:29 AM"
"71","2","30-Krishna Nagar Second","M009 UP14PT7717","W30R1","158","153","5","96","07-01-2026","08:53 AM","12:40 PM"
"72","2","55-Govind Nagar","M017 UP14PT7724","W55R3","155","150","5","96","02-01-2026","07:48 AM","11:34 AM"
"73","2","55-Govind Nagar","M017 UP14PT7724","W55R3","155","150","5","96","01-01-2026","07:14 AM","10:29 AM"
"74","1","65-Holi Gali","M054 UP14PT7728","W65R3","152","147","5","96","01-01-2026","07:04 AM","12:44 PM"
"75","1","65-Holi Gali","M054 UP14PT7728","W65R3","152","147","5","96","03-01-2026","07:04 AM","11:25 AM"
"76","4","34-Radhaniwas","DL51GD9441","W34R3","557","538","19","96","06-01-2026","07:51 AM","12:21 PM"
"77","2","24-Sarai Azamabad","M096   UP85AG0894","W24R3","468","452","16","96","08-01-2026","08:07 AM","12:29 PM"
"78","3","32-Ranchibagar","M129   UP85AG0780","W32R2","307","296","11","96","03-01-2026","07:36 AM","10:44 AM"
"79","1","65-Holi Gali","M054 UP14PT7728","W65R3","167","161","6","96","08-01-2026","07:05 AM","12:23 PM"
"80","1","35-Bankhandi","M132    UP85AG0770","W35R1","139","134","5","96","04-01-2026","07:53 AM","10:15 PM"
"81","2","55-Govind Nagar","M017 UP14PT7724","W55R3","161","155","6","96","07-01-2026","07:27 AM","11:30 AM"
"82","2","30-Krishna Nagar Second","M009 UP14PT7717","W30R1","158","152","6","96","08-01-2026","08:19 AM","10:12 AM"
"83","3","38-Civil Lines","M065 UP85AG0888","W38R1","209","201","8","96","08-01-2026","08:24 AM","11:18 AM"
"84","4","09-Gandhi Nagar","M278 UP85ET 7840","W9R2","286","275","11","96","01-01-2026","07:36 AM","12:29 PM"
"85","1","04-Ishapur Yamunapar","UP85FT2581","W4R2","230","221","9","96","02-01-2026","08:34 AM","12:02 PM"
"86","1","22-Badhri Nagar","DL5TGD9454","W22R2","308","295","13","95","02-01-2026","07:38 AM","09:54 AM"
"87","1","22-Badhri Nagar","DL5TGD9454","W22R2","308","295","13","95","01-01-2026","07:24 AM","09:57 AM"
"88","4","09-Gandhi Nagar","M278 UP85ET 7840","W9R2","307","294","13","95","08-01-2026","07:52 AM","10:44 AM"
"89","4","66-Keshighat","M264 UP85ET 7867","W66R1","188","180","8","95","06-01-2026","08:22 AM","11:50 AM"
"90","2","39-Mahavidhya Colony","M056 UP85AG0963","W39R1","301","288","13","95","05-01-2026","07:56 AM","11:07 AM"
"91","3","01-Birjapur","M014 UP14PT7936","W1R2","601","575","26","95","08-01-2026","07:52 AM","11:05 AM"
"92","2","55-Govind Nagar","M017 UP14PT7724","W55R3","161","154","7","95","09-01-2026","07:35 AM","10:24 AM"
"93","2","37-Baldevpuri","M077  UP85AG0761_C","W37R1","403","385","18","95","06-01-2026","08:25 AM","11:19 AM"
"94","3","01-Birjapur","M014 UP14PT7936","W1R2","601","574","27","95","09-01-2026","07:53 AM","10:20 AM"
"95","2","55-Govind Nagar","M017 UP14PT7724","W55R3","155","148","7","95","03-01-2026","07:50 AM","12:17 PM"
"96","4","09-Gandhi Nagar","M278 UP85ET 7840","W9R2","307","293","14","95","07-01-2026","08:32 AM","11:35 AM"
"97","2","39-Mahavidhya Colony","M095    UP85AG0788","W39R2","303","289","14","95","08-01-2026","08:36 AM","11:54 AM"
"98","4","34-Radhaniwas","DL51GD9441","W34R3","560","534","26","95","08-01-2026","08:29 AM","12:57 PM"
"99","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","21","20","1","95","08-01-2026","08:36 AM","10:32 AM"
"100","4","67-Kemar Van","M196 DL51GD9113_C","W67R4","21","20","1","95","07-01-2026","08:29 AM","10:03 AM"
"101","4","66-Keshighat","M264 UP85ET 7867","W66R1","188","179","9","95","04-01-2026","08:10 AM","12:05 PM"
"102","1","22-Badhri Nagar","DL5TGD9454","W22R2","308","293","15","95","08-01-2026","07:23 AM","10:37 AM"
"103","1","35-Bankhandi","M132    UP85AG0770","W35R1","164","156","8","95","09-01-2026","07:57 AM","11:15 AM"
"104","3","52-Chandrapuri","M181 UP85AG0763","W52R1","553","526","27","95","07-01-2026","07:14 AM","11:50 AM"
"105","3","27-Baad","M179 UP85AG0720_C","W27R1","388","369","19","95","07-01-2026","07:32 AM","10:48 AM"
"106","3","01-Birjapur","M014 UP14PT7936","W1R2","592","563","29","95","01-01-2026","07:29 AM","10:25 AM"
"107","3","01-Birjapur","M014 UP14PT7936","W1R2","601","571","30","95","05-01-2026","08:34 AM","11:40 AM"
"108","1","02-Ambedkar Nagar","M092 UP14PT7727_C","W2R2(C)","100","95","5","95","01-01-2026","08:02 AM","09:12 AM"
"109","2","24-Sarai Azamabad","M096   UP85AG0894","W24R7","80","76","4","95","07-01-2026","08:10 AM","12:50 PM"
"110","1","35-Bankhandi","M132    UP85AG0770","W35R1","139","132","7","94","05-01-2026","08:12 AM","08:49 AM"
"111","1","35-Bankhandi","M132    UP85AG0770","W35R1","139","132","7","94","02-01-2026","08:04 AM","08:51 AM"
"112","1","35-Bankhandi","M132    UP85AG0770","W35R1","139","132","7","94","01-01-2026","07:44 AM","09:40 AM"
"113","1","35-Bankhandi","M132    UP85AG0770","W35R1","139","132","7","94","06-01-2026","07:55 AM","10:13 AM"
"114","1","22-Badhri Nagar","DL5TGD9454","W22R2","308","292","16","94","03-01-2026","07:27 AM","10:16 AM"
"115","2","39-Mahavidhya Colony","M095    UP85AG0788","W39R2","303","287","16","94","01-01-2026","08:37 AM","11:53 AM"
"116","1","53-Krishna Puri","M055 UP85AG0891_C","W53R1","225","213","12","94","02-01-2026","07:23 AM","09:55 AM"
"117","1","22-Badhri Nagar","DL5TGD9454","W22R2","308","291","17","94","09-01-2026","07:39 AM","10:03 AM"
"118","1","22-Badhri Nagar","DL5TGD9454","W22R2","308","291","17","94","05-01-2026","08:01 AM","11:18 AM"
"119","4","09-Gandhi Nagar","M278 UP85ET 7840","W9R2","307","290","17","94","09-01-2026","08:02 AM","11:12 AM"
"120","2","47-Dwarkapuri","M079   UP85AG0754","W47R3","161","152","9","94","01-01-2026","08:19 AM","11:52 AM"
"121","4","09-Gandhi Nagar","M278 UP85ET 7840","W9R2","286","270","16","94","04-01-2026","07:52 AM","11:05 AM"
"122","1","04-Ishapur Yamunapar","UP85FT2581","W4R2","232","219","13","94","09-01-2026","08:32 AM","11:28 AM"
"123","1","04-Ishapur Yamunapar","UP85FT2581","W4R2","230","217","13","94","01-01-2026","08:02 AM","12:09 PM"
"124","3","52-Chandrapuri","M181 UP85AG0763","W52R1","526","496","30","94","02-01-2026","07:05 AM","01:28 PM"
"125","1","35-Bankhandi","M132    UP85AG0770","W35R1","139","131","8","94","03-01-2026","08:33 AM","09:34 AM"
"126","1","53-Krishna Puri","M055 UP85AG0891_C","W53R1","225","212","13","94","01-01-2026","07:16 AM","10:03 AM"
"127","1","65-Holi Gali","M117   UP85AG0765_C","W65R2","86","81","5","94","02-01-2026","06:57 AM","11:03 AM"
"128","3","32-Ranchibagar","M129   UP85AG0780","W32R2","308","290","18","94","04-01-2026","07:15 AM","10:44 AM"
"129","3","59-Maholi Second","UP85AG0777","W59R1","307","289","18","94","07-01-2026","07:28 AM","11:09 AM"
"130","4","09-Gandhi Nagar","M278 UP85ET 7840","W9R2","286","269","17","94","05-01-2026","08:09 AM","11:21 AM"
"131","2","24-Sarai Azamabad","M096   UP85AG0894","W24R3","468","440","28","94","09-01-2026","07:37 AM","12:17 PM"
"132","2","47-Dwarkapuri","M079   UP85AG0754","W47R3","161","151","10","93","09-01-2026","08:56 AM","11:15 AM"
"133","1","53-Krishna Puri","M055 UP85AG0891_C","W53R1","225","211","14","93","03-01-2026","07:12 AM","09:53 AM"
"134","4","25-Chharaura","UP85AG0964","W25R1","574","538","36","93","09-01-2026","07:54 AM","10:31 AM"
"135","2","55-Govind Nagar","MUP85AG0798","W55R2","466","436","30","93","08-01-2026","07:01 AM","09:08 AM"
"136","2","55-Govind Nagar","M017 UP14PT7724","W55R3","155","145","10","93","05-01-2026","07:45 AM","11:50 AM"
"137","4","66-Keshighat","M264 UP85ET 7867","W66R1","185","173","12","93","02-01-2026","08:19 AM","11:21 AM"
"138","1","64-Ghati Bahalray","RJ06GD1038","W64R1","92","86","6","93","01-01-2026","07:03 AM","10:48 AM"
"139","1","64-Ghati Bahalray","RJ06GD5309","W64R1","92","86","6","93","09-01-2026","07:10 AM","11:12 AM"
"140","4","34-Radhaniwas","M265 UP14PT8095","W34R2","444","415","29","93","07-01-2026","07:46 AM","11:03 AM"
"141","2","39-Mahavidhya Colony","M056 UP85AG0963","W39R1","301","281","20","93","02-01-2026","07:55 AM","10:56 AM"
"142","2","55-Govind Nagar","MUP85AG0798","W55R2","466","435","31","93","04-01-2026","06:52 AM","08:45 AM"
"143","2","56-Mandi Randas","M053 UP85AG0769","W56R2","15","14","1","93","01-01-2026","07:34 AM","10:36 AM"
"144","2","56-Mandi Randas","M053 UP85AG0769","W56R2","15","14","1","93","03-01-2026","08:02 AM","11:25 AM"
"145","2","24-Sarai Azamabad","M061 UP85AG0801","W24R5","373","348","25","93","06-01-2026","08:25 AM","11:57 AM"
"146","1","63-Maliyaan Sadar","M180 UP85AG0685","W63R2","356","332","24","93","08-01-2026","09:13 AM","11:59 AM"
"147","1","22-Badhri Nagar","DL5TGD9454","W22R2","308","287","21","93","07-01-2026","07:38 AM","09:57 AM"
"148","3","15-Maholi First","UP14PT7948","W15R1","234","218","16","93","04-01-2026","07:39 AM","10:41 AM"
"149","1","04-Ishapur Yamunapar","UP85FT2581","W4R2","232","216","16","93","08-01-2026","08:40 AM","11:50 AM"
"150","3","01-Birjapur","M014 UP14PT7936","W1R2","592","551","41","93","03-01-2026","07:30 AM","10:33 AM"
"151","1","02-Ambedkar Nagar","M092 UP14PT7727_C","W2R2(C)","101","94","7","93","07-01-2026","07:59 AM","09:50 AM"
"152","2","56-Mandi Randas","M016 UP14PT7747","W56R3","57","53","4","92","04-01-2026","07:40 AM","10:15 AM"
"153","3","27-Baad","M179 UP85AG0720_C","W27R1","383","356","27","92","04-01-2026","06:59 AM","10:02 AM"
"154","2","55-Govind Nagar","M017 UP14PT7724","W55R3","155","144","11","92","04-01-2026","07:02 AM","10:31 AM"
"155","3","27-Baad","M179 UP85AG0720_C","W27R1","388","360","28","92","09-01-2026","07:17 AM","11:08 AM"
"156","3","27-Baad","M179 UP85AG0720_C","W27R1","383","355","28","92","05-01-2026","07:21 AM","11:18 AM"
"157","2","44-Radhika Bihar","M012 UP14PT7946","W44R1","382","354","28","92","06-01-2026","07:55 AM","10:02 AM"
"158","2","37-Baldevpuri","M077  UP85AG0761_C","W37R1","404","374","30","92","09-01-2026","08:02 AM","11:54 AM"
"159","1","61-Chaubia Para","MR019-70148606","W61WBR4","40","37","3","92","04-01-2026","07:44 AM","11:01 AM"
"160","2","55-Govind Nagar","MUP85AG0798","W55R2","464","429","35","92","02-01-2026","06:52 AM","09:10 AM"
"161","1","63-Maliyaan Sadar","M191 UP85AG0948","W63R1","371","343","28","92","09-01-2026","07:58 AM","11:11 AM"
"162","2","03-Girdharpur","M024 UP14PT7999","W3R3","106","98","8","92","09-01-2026","08:23 AM","09:07 AM"
"163","1","64-Ghati Bahalray","RJ06GD5309","W64R1","92","85","7","92","07-01-2026","07:40 AM","12:50 PM"
"164","2","39-Mahavidhya Colony","M056 UP85AG0963","W39R1","301","278","23","92","08-01-2026","08:15 AM","12:24 PM"
"165","2","24-Sarai Azamabad","M096   UP85AG0894","W24R3","468","432","36","92","07-01-2026","07:56 AM","12:39 PM"
"166","2","48-Satoha Asangpur","M024 UP14PT7999","W48R2","13","12","1","92","09-01-2026","09:11 AM","10:31 AM"
"167","1","05-Bharatpur Gate","M080  UP85AG0795_C","W5R1","116","107","9","92","01-01-2026","07:37 AM","11:40 AM"
"168","4","66-Keshighat","M264 UP85ET 7867","W66R1","188","173","15","92","05-01-2026","08:18 AM","11:22 AM"
"169","3","52-Chandrapuri","M181 UP85AG0763","W52R1","526","484","42","92","01-01-2026","07:16 AM","11:18 AM"
"170","1","02-Ambedkar Nagar","M092 UP14PT7727_C","W2R2(C)","100","92","8","92","03-01-2026","08:02 AM","09:31 AM"
"171","2","24-Sarai Azamabad","M061 UP85AG0801","W24R5","373","343","30","91","04-01-2026","07:58 AM","11:21 AM"
"172","2","30-Krishna Nagar Second","M127   UP85AG0762","W30R2","430","395","35","91","07-01-2026","07:33 AM","01:08 PM"
"173","1","65-Holi Gali","M117   UP85AG0765_C","W65R2","86","79","7","91","03-01-2026","08:34 AM","10:53 AM"
"174","4","66-Keshighat","MR028-70148226","W66R2","85","78","7","91","08-01-2026","08:39 AM","11:19 AM"
"175","2","24-Sarai Azamabad","M061 UP85AG0801","W24R5","373","342","31","91","08-01-2026","09:05 AM","11:38 AM"
"176","2","55-Govind Nagar","MUP85AG0798","W55R2","466","427","39","91","06-01-2026","06:58 AM","09:15 AM"
"177","1","65-Holi Gali","M054 UP14PT7728","W65R3","167","153","14","91","09-01-2026","07:01 AM","10:21 AM"
"178","2","03-Girdharpur","M257 UP85ET 7845","W3R3","106","97","9","91","04-01-2026","08:19 AM","09:40 AM"
"179","3","52-Chandrapuri","UP85AG0949","W52R3","353","323","30","91","08-01-2026","07:43 AM","12:23 PM"
"180","3","15-Maholi First","UP14PT7948","W15R1","234","214","20","91","02-01-2026","08:05 AM","11:11 AM"
"181","3","15-Maholi First","UP14PT7948","W15R1","280","256","24","91","08-01-2026","07:50 AM","10:32 AM"
"182","4","66-Keshighat","M264 UP85ET 7867","W66R1","198","181","17","91","07-01-2026","08:44 AM","11:40 AM"
"183","2","43-Ganeshra","M078   UP85AG0757","W43R4","58","53","5","91","05-01-2026","11:28 AM","12:57 PM"
"184","1","40-Rajkumar","M007 UP14PT7719_C","W40R2","115","105","10","91","01-01-2026","08:05 AM","10:44 AM"
"185","4","09-Gandhi Nagar","M278 UP85ET 7840","W9R2","286","261","25","91","02-01-2026","07:41 AM","11:47 AM"
"186","2","24-Sarai Azamabad","M040 UP14PT7938","W24R1","137","125","12","91","03-01-2026","08:20 AM","09:20 AM"
"187","1","65-Holi Gali","M271 UP85ET 7847_C","W65R4","11","10","1","90","01-01-2026","07:11 AM","08:02 AM"
"188","2","12-Radhe Shyam Colony","M004 UP14PT7951","W12R4","540","490","50","90","08-01-2026","07:27 AM","10:58 AM"
"189","2","43-Ganeshra","M036 UP14PT8105_C","W43R3","54","49","5","90","03-01-2026","08:04 AM","11:11 AM"
"190","3","27-Baad","M179 UP85AG0720_C","W27R1","388","352","36","90","08-01-2026","07:18 AM","10:19 AM"
"191","2","03-Girdharpur","M257 UP85ET 7845","W3R3","106","96","10","90","05-01-2026","08:02 AM","08:48 AM"
"192","2","55-Govind Nagar","MUP85AG0798","W55R2","466","422","44","90","05-01-2026","06:56 AM","09:40 AM"
"193","4","34-Radhaniwas","M265 UP14PT8095","W34R2","423","383","40","90","05-01-2026","07:48 AM","11:11 AM"
"194","2","55-Govind Nagar","MUP85AG0798","W55R2","464","420","44","90","01-01-2026","08:23 AM","09:53 AM"
"195","2","24-Sarai Azamabad","M040 UP14PT7938","W24R1","137","124","13","90","01-01-2026","08:11 AM","08:51 AM"
"196","1","04-Ishapur Yamunapar","UP85FT2581","W4R2","230","208","22","90","06-01-2026","08:01 AM","11:03 AM"
"197","4","21-Chaitanya Bihar","M269 UP85ET 7841","W21R2","415","375","40","90","07-01-2026","08:24 AM","12:22 PM"
"198","4","34-Radhaniwas","UP85ET 7856","W34R1","576","520","56","90","01-01-2026","07:25 AM","11:42 AM"
"199","1","22-Badhri Nagar","DL5TGD9454","W22R2","308","278","30","90","06-01-2026","07:26 AM","10:14 AM"
"200","4","51-Gaushala Nagar","UP14PT8106","W51R2","830","749","81","90","04-01-2026","05:44 AM","11:50 AM"
"201","3","32-Ranchibagar","UP85FT2588","W32R1","230","207","23","90","05-01-2026","06:46 AM","10:33 AM"
"202","3","27-Baad","M179 UP85AG0720_C","W27R1","383","344","39","89","01-01-2026","06:56 AM","11:46 AM"
"203","2","44-Radhika Bihar","M012 UP14PT7946","W44R1","382","343","39","89","02-01-2026","07:48 AM","10:18 AM"
"204","2","44-Radhika Bihar","M012 UP14PT7946","W44R1","382","343","39","89","05-01-2026","08:22 AM","10:30 AM"
"205","2","24-Sarai Azamabad","UP85AG0752","W24R2","225","202","23","89","01-01-2026","08:29 AM","11:20 AM"
"206","1","04-Ishapur Yamunapar","UP85FT2581","W4R2","232","208","24","89","07-01-2026","08:06 AM","11:36 AM"
"207","2","12-Radhe Shyam Colony","MR013-70147533","W12MR1","153","137","16","89","02-01-2026","07:31 AM","10:11 AM"
"208","1","65-Holi Gali","M054 UP14PT7728","W65R3","153","137","16","89","06-01-2026","07:29 AM","11:08 AM"
"209","3","28-Aurangabad Second","M081  UP85AG0893_C","W28R2","257","230","27","89","02-01-2026","07:38 AM","10:52 AM"
"210","2","48-Satoha Asangpur","M257 UP85ET 7845","W48R2","19","17","2","89","02-01-2026","08:35 AM","10:37 AM"
"211","1","26-Naya Nagla","M086   UP85AG0880","W26R1","188","168","20","89","01-01-2026","07:43 AM","11:49 AM"
"212","4","51-Gaushala Nagar","M244 UP85AG0789_C","W51R3","629","562","67","89","08-01-2026","07:48 AM","12:31 PM"
"213","4","34-Radhaniwas","UP85ET 7856","W34R1","580","518","62","89","05-01-2026","07:46 AM","11:45 AM"
"214","2","24-Sarai Azamabad","M061 UP85AG0801","W24R5","373","333","40","89","01-01-2026","08:19 AM","11:45 AM"
"215","3","32-Ranchibagar","UP85FT2588","W32R1","230","205","25","89","04-01-2026","06:39 AM","10:45 AM"
"216","3","28-Aurangabad Second","M081  UP85AG0893_C","W28R2","257","229","28","89","03-01-2026","07:25 AM","10:36 AM"
"217","2","24-Sarai Azamabad","MR034-70143664","W24MR1","100","89","11","89","07-01-2026","08:19 AM","10:03 AM"
"218","1","02-Ambedkar Nagar","M092 UP14PT7727_C","W2R2(C)","100","89","11","89","02-01-2026","08:56 AM","10:26 AM"
"219","2","24-Sarai Azamabad","UP85AG0752","W24R2","225","200","25","88","08-01-2026","08:22 AM","11:31 AM"
"220","3","52-Chandrapuri","M181 UP85AG0763","W52R1","553","491","62","88","09-01-2026","07:20 AM","11:27 AM"
"221","4","66-Keshighat","MR028-70148226","W66R2","80","71","9","88","01-01-2026","07:28 AM","09:59 AM"
"222","4","66-Keshighat","MR028-70148226","W66R2","80","71","9","88","06-01-2026","08:08 AM","11:48 AM"
"223","2","44-Radhika Bihar","M012 UP14PT7946","W44R1","382","339","43","88","01-01-2026","08:17 AM","12:05 PM"
"224","2","16-Bakalpur","UP85FT2579","W16R1","444","394","50","88","07-01-2026","08:00 AM","12:28 PM"
"225","2","30-Krishna Nagar Second","M127   UP85AG0762","W30R2","408","362","46","88","05-01-2026","07:19 AM","12:27 PM"
"226","2","16-Bakalpur","UP85FT2579","W16R1","440","390","50","88","02-01-2026","08:16 AM","12:18 PM"
