S.No.,QR Code ID,Site Name,Zone & Circle,Ward,Building/Street,Type,Latitude,Longitude,Date,Time
38,MVNNDG55,ANIL RANA ,2,12-Radhe Shyam Colony,dalab Ghar pr hospital ke paas,Dhalao Ghar,27.526505,77.66383,01-11-2025,05:09 PM
39,MVNNDG54,ANIL RANA,2,24-Sarai Azamabad,BARF FACTORY KE PASS ,Dhalao Ghar,27.523914,77.66457,01-11-2025,05:03 PM
40,MVNNDG53,HARIKESH,2,45-Birla Mandir,HOSPITAL BC GOYAL KE PEECHE ,Dhalao Ghar,27.527266,77.677284,01-11-2025,05:02 PM
41,MVNNDG52,SACHIN,2,43-Ganeshra,ganesra road sochale,Dhalao Ghar,27.509248,77.647102,01-11-2025,04:57 PM
42,MVNNDG51,SACHIN,2,43-Ganeshra,hariram medical,Dhalao Ghar,27.509054,77.643672,01-11-2025,04:56 PM
43,MVNNDG50,SACHIN,2,43-Ganeshra,CRPF Camp,Dhalao Ghar,27.509052,77.641666,01-11-2025,04:51 PM
44,MVNNDG49,ARJUN,2,36-Jaisingh Pura,JAISINGH PURA KHADAR,Dhalao Ghar,27.522604,77.675687,01-11-2025,04:50 PM
45,MVNNDG48,ARJUN,2,39-Mahavidhya Colony,HARISH RAGHAV KOTHI ,Dhalao Ghar,27.50056,77.664748,01-11-2025,04:49 PM
46,MVNNDG47,SUDESH - UNDERGROUND DUSTBIN,1,02-Ambedkar Nagar,LAXMI NAGAR,Dhalao Ghar,27.506353,77.698788,01-11-2025,04:47 PM
49,MVNNDG46,GAURAV,1,35-Bankhandi,RANG MANCH BUILDING ,Dhalao Ghar,27.495887,77.680892,01-11-2025,04:40 PM
50,MVNNDG45,ANSHU,1,49-Daimpiriyal Nagar,MUKUND UTSHAB,Dhalao Ghar,27.492075,77.68153,01-11-2025,04:38 PM
51,MVNNDG44,ANSHU,1,49-Daimpiriyal Nagar,"RAHTI BUILDING , MASOOM",Dhalao Ghar,27.493135,77.681558,01-11-2025,04:37 PM
52,MVNNDG43,ANSHU,1,49-Daimpiriyal Nagar,KR DEGREE COLLEGE,Dhalao Ghar,27.496142,77.675302,01-11-2025,04:36 PM
53,MVNNDG42,ANSHU,1,49-Daimpiriyal Nagar,NEAR RAIL LINE KAILASH NAGAR KR DEGREE COLLEGE KE PICHHE,Dhalao Ghar,27.497616,77.673656,01-11-2025,04:35 PM
54,MVNNDG41,ANSHU,1,49-Daimpiriyal Nagar,"AKHADA PIPAL WALA ,BRIJ NAGAR",Dhalao Ghar,27.494706,77.675738,01-11-2025,04:34 PM
55,MVNNDG40,ADIL MALIK,1,42-Manoharpur,MEWATI MOHALLA,Dhalao Ghar,27.5040235,77.6748159,01-11-2025,04:31 PM
56,MVNNDG39,CHARAN SINGH ,1,40-Rajkumar,"SABJI MANDI,ANGOORI VATIKA MASANI ROAD",Dhalao Ghar,27.506428,77.672245,01-11-2025,04:27 PM
57,MVNNDG38,JITENDRA,1,18-General ganj,ANTAPARA BALMIK BHAKTI,Dhalao Ghar,27.498088,77.687128,01-11-2025,04:24 PM
58,MVNNDG37,MAHAVEER,1,53-Krishna Puri,Railway Kevin,Dhalao Ghar,27.49407,77.686495,01-11-2025,04:21 PM
59,MVNNDG36,VEERESH,1,68-Shanti Nagar,"Near Bajrang Chauraha, Maholi Road",Dhalao Ghar,27.485381,77.666568,01-11-2025,04:20 PM
60,MVNNDG35,VEERESH,1,68-Shanti Nagar,"Near Prasad Public School, Gopal Nagar",Dhalao Ghar,27.48067,77.668699,01-11-2025,04:17 PM
61,MVNNDG34,VEERESH,1,68-Shanti Nagar,"Opposite Bajrang Dharamkanta, Maholi Road",Dhalao Ghar,27.480816,77.65819,01-11-2025,04:10 PM
62,MVNNDG33,VEERESH,1,68-Shanti Nagar,"Opposite Chamunda Mata Mandir, Gopalnagar",Dhalao Ghar,27.473779,77.668344,01-11-2025,04:07 PM
63,MVNNDG32,MOHIT SAINI,1,23-Aheer Pada,chanakapuri khatik mohalla gete ke samne,Dhalao Ghar,27.461455,77.674227,01-11-2025,04:06 PM
64,MVNNDG31,MOHIT SAINI,1,23-Aheer Pada,janakapuri Kalika Mandir badhpura ke samne,Dhalao Ghar,27.461455,77.674227,01-11-2025,04:00 PM
65,MVNNDG30,MOHIT SAINI,1,63-Maliyaan Sadar,Bengali colony Mahadev Ghat ke pas ,Dhalao Ghar,27.461455,77.674227,01-11-2025,03:59 PM
66,MVNNDG29,GAURAV,1,35-Bankhandi,Mathura jila sahakari bank ,Dhalao Ghar,27.486326,77.681983,01-11-2025,03:58 PM
67,MVNNDG28,GAURAV,1,35-Bankhandi,Kishor raman inter college,Dhalao Ghar,27.49826,77.679556,01-11-2025,03:57 PM
68,MVNNDG27,SUBHASH,1,07-Lohvan,lahuvan pokhar,Dhalao Ghar,27.513421,77.721505,01-11-2025,03:55 PM
69,MVNNDG26,SUDESH,1,02-Ambedkar Nagar,get well hostpital,Dhalao Ghar,27.511248,77.709674,01-11-2025,03:54 PM
70,MVNNDG25,CHARAN SINGH ,1,22-Badhri Nagar,"badri nagar, near kabristan",Dhalao Ghar,27.500674,77.673428,01-11-2025,03:53 PM
71,MVNNDG24,HARIOM,1,05-Bharatpur Gate,NEAR MACHHALI MANDI,Dhalao Ghar,27.500945,77.676278,01-11-2025,03:52 PM
72,MVNNDG23,HARIOM,1,05-Bharatpur Gate,MAYOR WALI GALI,Dhalao Ghar,27.499353,77.678257,01-11-2025,03:50 PM
73,MVNNDG22,JITENDRA,1,26-Naya Nagla,BAHADURPUR,Dhalao Ghar,27.494543,77.685012,01-11-2025,03:49 PM
74,MVNNDG21,JITENDRA,1,26-Naya Nagla,NEAR NAYA NAGLA,Dhalao Ghar,27.488872,77.68344,01-11-2025,03:47 PM
75,MVNNDG20,SONVEER,3,59-Maholi Second,Yamuna wala road XUV plant ke pass,Dhalao Ghar,27.461455,77.674227,01-11-2025,03:46 PM
76,MVNNDG19,DEEPAK,3,57-Balajipuram,balajipuram Priyanshu janseva Kendra ke pass,Dhalao Ghar,27.451781,77.688808,01-11-2025,03:45 PM
77,MVNNDG18,DEEPAK,3,52-Chandrapuri,chandrapuri colony Chaudhary Charan Singh gate gali number 1 Mall ke paas,Dhalao Ghar,27.46006,77.671026,01-11-2025,03:39 PM
78,MVNNDG17,DEEPAK,3,52-Chandrapuri,chandrapuri colony Jyoti hospital ke samne,Dhalao Ghar,27.463074,77.670754,01-11-2025,03:38 PM
79,MVNNDG16,DEEPAK,3,52-Chandrapuri,chandrabangla industrial area Hanuman Mandir,Dhalao Ghar,27.473648,77.665531,01-11-2025,03:36 PM
80,MVNNDG15,ANIL BAGHEL ,3,29-Koyla Alipur,kashiram colony mod,Dhalao Ghar,27.421098,77.69579,01-11-2025,03:34 PM
81,MVNNDG14,MANOJ,4,51-Gaushala Nagar,NEAR SURYA NAMASKAR,Dhalao Ghar,27.561242,77.682983,01-11-2025,03:32 PM
84,MVNNDG13,PRIYANSHU,4,09-Gandhi Nagar,Telipada,Dhalao Ghar,27.577881,77.69456,01-11-2025,03:21 PM
85,MVNNDG12,MANOJ,4,34-Radhaniwas,Char sampradaay,Dhalao Ghar,27.577374,77.703101,01-11-2025,03:19 PM
86,MVNNDG11,MOHIT VRINDAVAN,4,70-Biharipur,JUGAL GHAT,Dhalao Ghar,27.558692,77.688077,01-11-2025,03:18 PM
87,MVNNDG10,HEMANT,4,69-Ratan Chhatri,PILI KOTHI,Dhalao Ghar,27.576148,77.685274,01-11-2025,03:17 PM
88,MVNNDG9,SATENDRA,4,21-Chaitanya Bihar,KAMAL MANDIR KE PASS ,Dhalao Ghar,27.563681,77.638404,01-11-2025,03:15 PM
89,MVNNDG8,HEMANT,4,67-Kemar Van,KABADI VALI WALI,Dhalao Ghar,27.570569,77.684786,01-11-2025,03:15 PM
90,MVNNDG7,VISHNU,4,66-Keshighat,KESI GHAT KALI MANDIR,Dhalao Ghar,27.586943,77.703918,01-11-2025,03:12 PM
91,MVNNDG6,HEMANT,4,67-Kemar Van,ramswaroop pandal,Dhalao Ghar,27.574971,77.682756,01-11-2025,03:10 PM
92,MVNNDG5,HEMANT,4,69-Ratan Chhatri,RATANCHATRI,Dhalao Ghar,27.576497,77.685342,01-11-2025,03:09 PM
93,MVNNDG4,SATISH,4,13-Sunrakh,nri green,Dhalao Ghar,27.574994,77.672917,01-11-2025,03:08 PM
94,MVNNDG3,HEMANT,4,67-Kemar Van,sukhda bhakti,Dhalao Ghar,27.571316,77.685132,01-11-2025,03:07 PM
95,MVNNDG2,MANOJ,4,51-Gaushala Nagar,SANIDEV MANDIR,Dhalao Ghar,27.563997,77.68437,01-11-2025,03:06 PM
96,MVNNDG1,MANOJ,4,51-Gaushala Nagar,KAILASH NAGAR ,Dhalao Ghar,27.564192,77.689472,01-11-2025,03:05 PM
97,MVNNDS1,Anil Rana,2,24-Sarai Azamabad,RADHA VELLY ,Dhalao Ghar,27.520836,77.656489,01-11-2025,03:01 PM
